11-25 13:16:06.612 -64, 0, 0, 0, 0, 0, 1996474192, 4330232, 4358888, 1000000, -861513346, 4493288, -861513345, 1996474528
11-25 13:16:12.591 -0, 0, 0, 0, 0, 0, 1996474192, 4330232, 4358888, 1000000, -861513346, 4493288, -861513345, 1996474528
11-25 13:16:16.875 -0, 0, 0, 0, 0, 0, 1996474192, 4330232, 4358888, 1000000, -861513346, 4493288, -861513345, 1996474528
11-25 13:34:01.669 -64, 0, 0, 0, 0, 0, 2063583056, 4330040, 4358568, 1000000, -519916498, 4489184, -519916497, 2063583392
11-25 13:34:06.665 -0, 0, 0, 0, 0, 0, 2063583056, 4330040, 4358568, 1000000, -519916498, 4489184, -519916497, 2063583392
11-25 13:36:35.245 -64, 0, 0, 0, 0, 0, -1258322096, 4330056, 4358584, 1000000, -174279826, 4489192, -174279825, -1258321760
11-25 13:36:41.354 -0, 0, 0, 0, 0, 0, -1258322096, 4330056, 4358584, 1000000, -174279826, 4489192, -174279825, -1258321760
11-25 13:39:49.778 -64, 0, 0, 0, 0, 0, -2013272240, 4330056, 4358584, 1000000, -883835682, 4489192, -883835681, -2013271904
11-25 13:39:54.926 -0, 0, 0, 0, 0, 0, -2013272240, 4330056, 4358584, 1000000, -883835682, 4489192, -883835681, -2013271904
11-25 13:39:59.206 -0, 0, 0, 0, 0, 0, -2013272240, 4330056, 4358584, 1000000, -883835682, 4489192, -883835681, -2013271904
11-25 14:06:34.860 -64, 0, 0, 0, 0, 0, -1358969008, 4330024, 4358552, 1000000, -158653602, 4489192, -158653601, -1358968672
11-25 14:06:40.311 -0, 0, 0, 0, 0, 0, -1358969008, 4330024, 4358552, 1000000, -158653602, 4489192, -158653601, -1358968672
11-25 14:06:43.545 -0, 0, 0, 0, 0, 0, -1358969008, 4330024, 4358552, 1000000, -158653602, 4489192, -158653601, -1358968672
